DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7277093,1,1,1,2,,2,,2,,,,2,2,300,57,2,05,"",34.8373147591954
7277114,1,1,2,1,2,2,1300000,2,,2,,2,2,4,45,1,05,05,132.473094961111
7277114,1,1,1,1,2,2,1300000,2,,2,,2,2,4,46,1,05,05,132.473094961111
7277159,1,1,1,1,1,1,1160000,1,172000,2,,1,2,24,23,2,05,"",16.8244544514034
7277175,1,1,1,1,1,1,1200000,1,250000,2,,1,2,60,45,1,05,05,63.5327653172032
7277201,1,1,1,3,,1,,2,,,,2,2,60,36,1,44,"",42.7798681357616
7277222,1,1,1,3,,2,,2,,,,2,2,240,80,1,68,"",96.5499938790737
7277227,1,3,1,3,,1,,2,,,,2,2,24,22,1,68,"",166.360553517176
7277227,1,3,2,3,,1,,2,,,,2,2,24,18,1,68,"",166.360553517176
7277243,1,1,1,3,,1,,2,,,,2,2,120,32,2,68,"",103.933591012214
7277253,1,1,1,3,,1,,2,,,,2,2,120,62,1,68,"",86.4757046778097
7277253,1,1,4,3,,2,,2,,,,2,2,48,17,1,68,"",86.4757046778097
7277253,1,1,3,3,,1,,2,,,,2,2,36,15,1,68,"",86.4757046778097
7277253,1,1,2,3,,2,,2,,,,2,2,120,62,1,68,"",86.4757046778097
7277271,1,2,1,3,,1,,2,,,,2,2,10,30,2,63,"",18.818739697689
7277341,1,1,1,3,,2,,2,,,,2,2,120,55,2,66,"",12.7777817098327
7277378,1,1,1,2,,1,,2,,,,2,2,36,49,1,05,05,93.2353689014485
7277378,1,1,2,2,,2,,2,,,,2,2,36,28,1,05,05,93.2353689014485
7277398,1,1,1,1,2,1,1194612,1,264093,1,1454778,1,1,24,38,1,05,05,112.088200237416
7277419,1,1,1,1,1,2,950227,2,,2,,2,2,12,99,1,05,05,75.2737963175787
7277420,1,1,2,1,1,2,1160000,1,251082,2,,1,1,16,34,1,05,05,72.0902576179031
7277420,1,1,4,1,1,2,1160000,1,251082,2,,1,2,36,39,1,05,05,72.0902576179031
7277420,1,1,5,1,1,1,1160000,1,251082,2,,1,1,18,30,1,05,05,72.0902576179031
7277420,1,1,1,1,1,2,1160000,1,251082,2,,1,1,12,31,1,05,05,72.0902576179031
7277420,1,1,3,1,1,2,1160000,1,251082,2,,1,1,24,29,1,05,05,72.0902576179031
7277526,1,1,2,1,2,1,280000,2,,2,,2,2,72,52,1,05,05,85.0854101890221
7277526,1,1,1,1,2,2,320000,2,,2,,2,2,72,49,1,05,05,85.0854101890221
7277569,1,1,1,1,1,2,1200000,2,,2,,2,2,24,38,1,05,05,76.3908069218334
7277569,1,1,2,1,1,1,1200000,2,,2,,2,2,18,30,1,05,05,76.3908069218334
7277675,1,1,1,2,,2,,2,,,,2,2,7,38,1,08,08,72.4058508664285
7277676,1,2,2,1,2,1,885196,2,,2,,2,2,48,30,1,08,08,49.7158556248728
7277676,1,2,1,1,2,2,885196,2,,2,,2,2,180,50,1,08,08,49.7158556248728
7277694,1,1,1,1,2,1,280000,2,,2,,2,2,24,41,1,08,08,50.333643606189
7277694,1,1,2,1,2,1,300000,2,,2,,2,2,36,34,1,08,08,50.333643606189
